support,pattern
255,['382']
192,"['390', '425']"
167,['36']
162,['716']
151,['387']
134,['282']
128,['934']
120,['276']
118,['448']
115,['404']
114,['93']
113,['797']
109,['7']
107,['415']
104,['474']
103,['488']
103,['152']
102,['78']
102,['442']
101,['473']
97,['942']
96,['443']
94,['233']
91,['193']
90,['317']
89,['288']
87,['66']
83,['416']
82,['832']
39,"['25', '390']"
21,"['390', '60']"
14,"['181', '390']"
14,"['181', '25']"
14,"['122', '390']"
13,"['382', '390']"
10,"['174', '390']"
10,"['105', '25']"
8,"['253', '390']"
7,"['390', '548']"
7,"['253', '38']"
5,"['105', '253']"
4,"['105', '441']"
2,"['105', '38']"
1,"['390', '441']"
1,"['38', '441']"
0,"['194', '934']"
0,"['129', '390']"
