support,pattern
271,['26']
226,['422']
201,['359']
178,['248']
173,['436']
171,['526']
165,['288']
160,['122']
142,['27']
126,['563']
122,"['164', '436']"
115,['190']
109,['755']
104,['441']
99,['495']
92,['66']
91,['99']
90,['453']
89,['745']
89,['576']
88,['108']
84,['762']
83,['880']
79,['93']
78,['881']
76,['874']
76,['1320']
75,['731']
73,['757']
67,"['26', '83']"
59,"['382', '422']"
50,"['422', '723']"
50,"['225', '382']"
49,"['382', '407']"
25,"['382', '723']"
7,"['38', '382']"
6,"['382', '390']"
6,"['317', '38']"
3,"['105', '38']"
2,"['38', '548']"
0,"['225', '382', '407']"
0,"['164', '288', '436']"
0,"['288', '436']"
0,"['225', '407']"
0,"['164', '288']"
0,"['1113', '152']"
